day,date,time_ist,slot,format,pillar,title,hook,cta,hashtags,festival,stories,launch_post,status
"59","2026-11-28","19:30","1","Reel","Sweet-making process","Kalakand: garnish close-up","The finishing touch on Kalakand.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Founder takeover: 3–5 frames, face to camera","","planned"
"60","2026-11-29","19:30","1","Photo","Wedding gifting","Shagun box with envelope slot","Shagun, sweetened.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Family & festive moments; weekend order cut-off reminder","","planned"
"61","2026-11-30","08:30","1","Reel","Customer testimonials & reactions","Client reaction video (with consent)","We asked [client] what their team said.","Tag someone · share your unboxing","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Poll: “Which sweet are you?” + link sticker to /sweets","","planned"
"61","2026-11-30","13:00","2","Reel","Sweet-making process","Kalakand: texture macro (ASMR)","Sound on. This is Kalakand.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"61","2026-11-30","20:00","3","Carousel","Packaging","Ribbon-tying close-up (as carousel)","One ribbon. Zero shortcuts.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"62","2026-12-01","08:30","1","Reel","Sweet-making process","Kalakand: halwai’s tip","A halwai’s secret for perfect Kalakand.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Behind the scenes: kitchen clips, halwai at work","","planned"
"62","2026-12-01","13:00","2","Reel","Corporate gifting","Logo proof → foil → finished box","From your logo file to this.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","","","planned"
"62","2026-12-01","20:00","3","Carousel","Founder journey","Lessons from the first festive season","What our first Diwali taught us.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"63","2026-12-02","08:30","1","Reel","Sweet-making process","Malai Barfi: slow-motion pour & first stir","Watch this milk turn into Malai Barfi.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Question box: “Ask us anything about mithai / gifting”","","planned"
"63","2026-12-02","13:00","2","Reel","Wedding gifting","Colour-matching session with a bride’s family","Matching the lehenga, one ribbon at a time.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","","","planned"
"63","2026-12-02","20:00","3","Carousel","Packaging","Foil logo stamping for a (consenting) client (as carousel)","This logo just went gold.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"64","2026-12-03","08:30","1","Reel","Sweet-making process","Malai Barfi: the cut reveal","The cut you didn’t know you needed.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Order reminder + link sticker; countdown sticker near festivals","","planned"
"64","2026-12-03","13:00","2","Reel","Sweet-making process","Malai Barfi: garnish close-up","The finishing touch on Malai Barfi.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"64","2026-12-03","20:00","3","Carousel","Packaging","Dispatch day, city by city (as carousel)","Where are these boxes going?","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"65","2026-12-04","08:30","1","Reel","Wedding gifting","Tasting session with two families","The happiest hour of wedding planning.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Reshare customer stories and unboxings (with permission)","","planned"
"65","2026-12-04","13:00","2","Reel","Sweet-making process","Malai Barfi: texture macro (ASMR)","Sound on. This is Malai Barfi.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"65","2026-12-04","20:00","3","Carousel","Corporate gifting","Plan next Diwali now: the 2027 early-bird list","Next Diwali, without the panic.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","","","planned"
"66","2026-12-05","08:30","1","Reel","Founder journey","Founder Q&A from comments","You asked. I answered.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Founder takeover: 3–5 frames, face to camera","","planned"
"66","2026-12-05","13:00","2","Reel","Sweet-making process","Malai Barfi: halwai’s tip","A halwai’s secret for perfect Malai Barfi.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"66","2026-12-05","20:00","3","Carousel","Packaging","Unboxing POV (as carousel)","POV: this just arrived at your desk.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"67","2026-12-06","08:30","1","Reel","Sweet-making process","Peda: slow-motion pour & first stir","Watch this milk turn into Peda.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Family & festive moments; weekend order cut-off reminder","","planned"
"67","2026-12-06","13:00","2","Reel","Wedding gifting","Wedding season is open","Shaadi season starts now.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","","","planned"
"67","2026-12-06","20:00","3","Carousel","Customer testimonials & reactions","Planner review (as carousel)","“[Real quote].”","Tag someone · share your unboxing","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"68","2026-12-07","08:30","1","Reel","Sweet-making process","Peda: the cut reveal","The cut you didn’t know you needed.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Poll: “Which sweet are you?” + link sticker to /sweets","","planned"
"68","2026-12-07","13:00","2","Reel","Packaging","Writing the message cards","Every card, written like it matters.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"68","2026-12-07","20:00","3","Carousel","Sweet-making process","Kalakand: how to serve it","3 ways to serve Kalakand like a host.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"69","2026-12-08","08:30","1","Reel","Corporate gifting","Bulk dispatch time-lapse (real order)","[N] boxes. One afternoon.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","Behind the scenes: kitchen clips, halwai at work","","planned"
"69","2026-12-08","13:00","2","Reel","Founder journey","Why only six sweets","Why we say no to a hundred sweets.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"69","2026-12-08","20:00","3","Carousel","Sweet-making process","Kalakand: ingredient story","What actually goes into Kalakand.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"70","2026-12-09","08:30","1","Reel","Wedding gifting","Wedding gifting mistakes to avoid (as reel)","5 wedding gifting mistakes (and how to avoid them).","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Question box: “Ask us anything about mithai / gifting”","","planned"
"70","2026-12-09","13:00","2","Reel","Packaging","Build-a-box: viewers pick the assortment","You pick, we pack.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"70","2026-12-09","20:00","3","Carousel","Sweet-making process","Kalakand: myth vs fact","Kalakand: 4 things people get wrong.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"71","2026-12-10","08:30","1","Reel","Sweet-making process","Peda: garnish close-up","The finishing touch on Peda.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Order reminder + link sticker; countdown sticker near festivals","","planned"
"71","2026-12-10","13:00","2","Reel","Packaging","Christmas & New Year box reveal","The year-end box is here.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"71","2026-12-10","20:00","3","Carousel","Wedding gifting","Budgeting wedding boxes","What wedding boxes really cost — and where to save.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","","","planned"
"72","2026-12-11","08:30","1","Reel","Sweet-making process","Peda: texture macro (ASMR)","Sound on. This is Peda.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Reshare customer stories and unboxings (with permission)","","planned"
"72","2026-12-11","13:00","2","Reel","Corporate gifting","Office delivery day","When the Mithaiwallah boxes arrive at the office.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","","","planned"
"72","2026-12-11","20:00","3","Carousel","Founder journey","Numbers we are proud of (real ones only)","[Real milestone] — thank you.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"73","2026-12-12","08:30","1","Reel","Sweet-making process","Peda: halwai’s tip","A halwai’s secret for perfect Peda.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Founder takeover: 3–5 frames, face to camera","","planned"
"73","2026-12-12","13:00","2","Reel","Packaging","The three collections side by side (as reel)","Classic, Heritage or Royal?","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"73","2026-12-12","20:00","3","Carousel","Sweet-making process","Malai Barfi: how to serve it","3 ways to serve Malai Barfi like a host.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"74","2026-12-13","08:30","1","Reel","Wedding gifting","Real wedding feature (with the couple’s consent) (as reel)","Inside [couple]’s wedding boxes.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Family & festive moments; weekend order cut-off reminder","","planned"
"74","2026-12-13","13:00","2","Reel","Customer testimonials & reactions","Customer unboxing reshare","Your unboxings are our favourite content.","Tag someone · share your unboxing","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"74","2026-12-13","20:00","3","Carousel","Sweet-making process","Malai Barfi: ingredient story","What actually goes into Malai Barfi.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"75","2026-12-14","08:30","1","Reel","Packaging","ASMR box packing — a different sweet each time — take 2","Packed by hand. Sound on.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","Poll: “Which sweet are you?” + link sticker to /sweets","","planned"
"75","2026-12-14","13:00","2","Reel","Sweet-making process","Kunda: slow-motion pour & first stir","Watch this milk turn into Kunda.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"75","2026-12-14","20:00","3","Carousel","Corporate gifting","Onboarding boxes for new joiners (as carousel)","Day one, sweetened.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","","","planned"
"76","2026-12-15","08:30","1","Reel","Founder journey","The halwai who taught me","The person who taught me what good mithai is.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Behind the scenes: kitchen clips, halwai at work","","planned"
"76","2026-12-15","13:00","2","Reel","Sweet-making process","Kunda: the cut reveal","The cut you didn’t know you needed.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"76","2026-12-15","20:00","3","Carousel","Wedding gifting","Elders’ box: softer sweets, bigger love (as carousel)","For the elders at the wedding.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","","","planned"
"77","2026-12-16","08:30","1","Reel","Packaging","Ribbon-tying close-up — take 2","One ribbon. Zero shortcuts.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","Question box: “Ask us anything about mithai / gifting”","","planned"
"77","2026-12-16","13:00","2","Reel","Sweet-making process","Kunda: garnish close-up","The finishing touch on Kunda.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"77","2026-12-16","20:00","3","Carousel","Sweet-making process","Malai Barfi: myth vs fact","Malai Barfi: 4 things people get wrong.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"78","2026-12-17","08:30","1","Reel","Packaging","Foil logo stamping for a (consenting) client — take 2","This logo just went gold.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","Order reminder + link sticker; countdown sticker near festivals","","planned"
"78","2026-12-17","13:00","2","Reel","Wedding gifting","Monogram reveal on a return-gift box — take 2","Their initials, in gold.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","","","planned"
"78","2026-12-17","20:00","3","Carousel","Sweet-making process","Peda: how to serve it","3 ways to serve Peda like a host.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"79","2026-12-18","08:30","1","Reel","Corporate gifting","Logo proof → foil → finished box — take 2","From your logo file to this.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","Reshare customer stories and unboxings (with permission)","","planned"
"79","2026-12-18","13:00","2","Reel","Founder journey","Biggest mistake so far — take 2","The mistake that cost us [x] — and what we changed.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"79","2026-12-18","20:00","3","Carousel","Sweet-making process","Peda: ingredient story","What actually goes into Peda.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"80","2026-12-19","08:30","1","Reel","Packaging","Dispatch day, city by city — take 2","Where are these boxes going?","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","Founder takeover: 3–5 frames, face to camera","","planned"
"80","2026-12-19","13:00","2","Reel","Sweet-making process","Kunda: texture macro (ASMR)","Sound on. This is Kunda.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"80","2026-12-19","20:00","3","Carousel","Wedding gifting","Wedding planner collab: 3 favour trends — take 2","3 wedding favour trends planners love this season.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","","","planned"
"81","2026-12-20","08:30","1","Reel","Customer testimonials & reactions","Hotel chef on consistency","Why [hotel] trusts us with their buffet.","Tag someone · share your unboxing","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Family & festive moments; weekend order cut-off reminder","","planned"
"81","2026-12-20","13:00","2","Reel","Sweet-making process","Kunda: halwai’s tip","A halwai’s secret for perfect Kunda.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"81","2026-12-20","20:00","3","Carousel","Packaging","Custom sleeve printing: proof → final — take 2","From proof to box in 4 slides.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"82","2026-12-21","08:30","1","Reel","Sweet-making process","Bikaneri Cake: slow-motion pour & first stir","Watch this milk turn into Bikaneri Cake.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Poll: “Which sweet are you?” + link sticker to /sweets","","planned"
"82","2026-12-21","13:00","2","Reel","Corporate gifting","Bulk dispatch time-lapse (real order) — take 2","[N] boxes. One afternoon.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","","","planned"
"82","2026-12-21","20:00","3","Carousel","Founder journey","Prayagraj roots — take 2","Why Prayagraj.","Ask the founder anything","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #FounderStory #MadeInIndia #VocalForLocal #SmallBusinessIndia #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"83","2026-12-22","08:30","1","Reel","Sweet-making process","Bikaneri Cake: the cut reveal","The cut you didn’t know you needed.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Behind the scenes: kitchen clips, halwai at work","","planned"
"83","2026-12-22","13:00","2","Reel","Wedding gifting","Return-gift table set-up at a venue — take 2","The last thing guests see before they leave.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","","","planned"
"83","2026-12-22","20:00","3","Carousel","Packaging","Tray layouts: 4, 6 or 9 cavities — take 2","Pick your layout.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"84","2026-12-23","08:30","1","Reel","Sweet-making process","Bikaneri Cake: garnish close-up","The finishing touch on Bikaneri Cake.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","Question box: “Ask us anything about mithai / gifting”","","planned"
"84","2026-12-23","13:00","2","Reel","Sweet-making process","Bikaneri Cake: texture macro (ASMR)","Sound on. This is Bikaneri Cake.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"84","2026-12-23","20:00","3","Carousel","Packaging","Packing for a 1,500 km journey — take 2","How our sweets survive a 1,500 km journey.","DM to order · link in bio","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #LuxuryPackaging #GiftBox #Unboxing #PackagingDesign #SatisfyingVideo","","","","planned"
"85","2026-12-24","08:30","1","Reel","Wedding gifting","Colour-matching session with a bride’s family — take 2","Matching the lehenga, one ribbon at a time.","DM “WEDDING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #WeddingGifts #WeddingHampers #ReturnGifts #IndianWedding #ShaadiSeason #WeddingFavours","","Order reminder + link sticker; countdown sticker near festivals","","planned"
"85","2026-12-24","13:00","2","Reel","Sweet-making process","Bikaneri Cake: halwai’s tip","A halwai’s secret for perfect Bikaneri Cake.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
"85","2026-12-24","20:00","3","Carousel","Corporate gifting","Three gifting tiers explained — take 2","Team, leadership, key clients: how to budget.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts","","","","planned"
"86","2026-12-25","08:30","1","Carousel","Corporate gifting","Christmas & New Year client gifting","The year-end gift your clients will actually open.","DM “DIWALI” / “GIFTING” for the catalogue","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #CorporateGifting #CorporateGiftsIndia #DiwaliGifting #EmployeeGifts #ClientGifts #Diwali2026 #FestiveGifting #DiwaliSweets #FestiveHampers","Christmas","Reshare customer stories and unboxings (with permission)","","planned"
"86","2026-12-25","13:00","2","Reel","Sweet-making process","Factory tour: 60 seconds, milk to box","Our whole kitchen in 60 seconds.","Save + follow for the process","#Mithaiwallah #PremiumSweets #IndianSweets #Mithai #HandcraftedSweets #SweetMaking #Halwai #SlowFood #FoodASMR #MadeByHand #Prayagraj #PrayagrajFood #Allahabad #UttarPradesh","","","","planned"
